x_1,x_2,x_3,Classification
0.4677910031083554,0.400301092000128,-0.7879915057628374,Inlier
0.9843778214297134,0.037739822953658055,-0.17197677296867098,Inlier
-0.581026711506348,-0.6611242293808679,0.4746816973948674,Inlier
-0.1947255841799773,0.9575111619463548,-0.2127306315834847,Inlier
0.6939284354307301,0.6423193660426895,0.325406143929669,Inlier
-0.5316798918775201,-0.8338291956821622,0.1484768163759824,Inlier
0.4689090340562354,-0.6749608703195807,-0.5696947790860316,Inlier
0.5594096100954622,0.0595794735077805,-0.8267473462124802,Inlier
0.4378306770933888,0.7853423466298111,0.43765476895142624,Inlier
0.5248386110016906,-0.8349467303896545,-0.16555479399111794,Inlier
0.564181082365196,-0.801402986774968,0.19862768963414004,Inlier
0.003940228613130111,0.3421854138796189,-0.9396241893046976,Inlier
-0.1651819739028174,0.9861688792121386,0.01363294432774173,Inlier
-0.586282218360344,0.7402915109840297,0.32900097142631063,Inlier
0.4913096762767855,-0.5871257921208956,0.6433491324492567,Inlier
0.3818648432504417,-0.7811591865083629,0.4939327553654527,Inlier
-0.9144502731601406,0.3092878745219065,-0.2610013574506189,Inlier
-0.23793152618449664,0.162364936693465,-0.9576148579570198,Inlier
-0.920811361471889,-0.16260125407743273,-0.3544957951185488,Inlier
-0.3547026780501726,-0.9296970957481964,-0.09924374207678996,Inlier
0.5933281076018851,-0.28529254990470954,-0.7527083882211189,Inlier
0.5336016990684875,0.6950106084868845,0.4819019411061903,Inlier
-0.7214373633231982,0.12149002029914628,0.6817391772290813,Inlier
-0.5970311039946842,-0.7891378238644082,-0.14427527788722128,Inlier
0.674920375220478,0.4125214930693804,-0.6118075717642422,Inlier
0.22141000825902607,0.962516312650934,0.15665234158348013,Inlier
0.21554531858999573,-0.8076031468958748,-0.548923831471924,Inlier
0.6064407493834134,0.5468237984606539,-0.57724635202342,Inlier
0.9673280979779064,0.25081037833059244,-0.03702033203674618,Inlier
-0.07786716360142026,0.6562327103578626,-0.7505300358340387,Inlier
0.9528967036349456,0.3017390638190957,0.0306823983291824,Inlier
-0.5469020733699839,-0.7182924032942407,0.4300629552907302,Inlier
-0.015348383322462428,-0.0812148908002155,-0.9965784307527912,Inlier
0.7878031746849068,-0.047866137466464544,-0.6140643214195265,Inlier
-0.6530656261911766,0.5742365325933623,0.4937182319123721,Inlier
-0.6423817525236301,0.7654323067169327,-0.03819774677471298,Inlier
-0.9707671531428752,-0.22622403065705665,-0.08021111102679476,Inlier
0.8260416307366178,0.4677028900575098,-0.3144983798397723,Inlier
-0.5846812058090302,0.5707754253645477,-0.5765095848063745,Inlier
-0.7403302425922407,-0.5714768540575794,0.3540131878613652,Inlier
